region,L_V1,L_V6,L_V2,L_V3,L_V4,L_4,L_3b,L_FEF,L_PEF,L_55b,L_V3A,L_RSC,L_POS2,L_V7,L_IPS1,L_FFC,L_LO1,L_LO2,L_PIT,L_MT,L_A1,L_PSL,L_SFL,L_PCV,L_STV,L_7Pm,L_7m,L_POS1,L_23d,L_v23ab,L_d23ab,L_31pv,L_5m,L_5mv,L_23c,L_5L,L_24dd,L_24dv,L_7AL,L_SCEF,L_6ma,L_7Am,L_7PL,L_7PC,L_LIPv,L_VIP,L_MIP,L_1,L_2,L_3a,L_6d,L_6mp,L_6v,L_p24pr,L_33pr,L_a24pr,L_p32pr,L_a24,L_d32,L_8BM,L_p32,L_10r,L_47m,L_8Av,L_8Ad,L_9m,L_8BL,L_9p,L_10d,L_8C,L_44,L_45,L_47l,L_a47r,L_6r,L_IFJa,L_IFJp,L_IFSp,L_IFSa,L_46,L_a9-46v,L_9-46d,L_9a,L_10v,L_10pp,L_11l,L_13l,L_OFC,L_47s,L_LIPd,L_6a,L_i6-8,L_s6-8,L_43,L_OP4,L_OP2-3,L_52,L_PFcm,L_PoI2,L_TA2,L_FOP4,L_MI,L_Pir,L_AVI,L_FOP1,L_FOP3,L_FOP2,L_AIP,L_EC,L_PreS,L_H,L_ProS,L_PeEc,L_STGa,L_PBelt,L_A5,L_PHA1,L_PHA3,L_STSda,L_STSdp,L_STSvp,L_TGd,L_TE1a,L_TE1p,L_TE2a,L_TF,L_TE2p,L_PHT,L_PH,L_TPOJ1,L_TPOJ2,L_TPOJ3,L_DVT,L_PGp,L_IP2,L_IP1,L_IP0,L_PFop,L_PF,L_PFm,L_PGi,L_PGs,L_V6A,L_VMV1,L_VMV3,L_PHA2,L_V4t,L_FST,L_LO3,L_VMV2,L_31pd,L_31a,L_VVC,L_25,L_s32,L_pOFC,L_PoI1,L_Ig,L_FOP5,L_p10p,L_p47r,L_TGv,L_MBelt,L_LBelt,L_A4,L_STSva,L_TE1m,L_PI,L_a32pr,L_p24,R_V1,R_V2,R_V3,R_V4,R_V8,R_4,R_3b,R_FEF,R_V3A,R_RSC,R_POS2,R_IPS1,R_FFC,R_V3B,R_PSL,R_PCV,R_STV,R_7Pm,R_POS1,R_31pv,R_23c,R_5L,R_24dd,R_24dv,R_6ma,R_7Am,R_7PC,R_LIPv,R_MIP,R_1,R_2,R_3a,R_6d,R_6mp,R_6v,R_p32pr,R_a24,R_d32,R_8BM,R_47m,R_8Ad,R_9m,R_9p,R_10d,R_8C,R_44,R_45,R_47l,R_a47r,R_6r,R_IFSp,R_IFSa,R_p9-46v,R_46,R_a9-46v,R_9-46d,R_9a,R_10v,R_a10p,R_10pp,R_11l,R_13l,R_OFC,R_47s,R_6a,R_i6-8,R_43,R_OP4,R_RI,R_PoI2,R_TA2,R_MI,R_Pir,R_AVI,R_PFt,R_AIP,R_EC,R_PreS,R_H,R_ProS,R_PeEc,R_STGa,R_PBelt,R_A5,R_PHA1,R_PHA3,R_STSda,R_STSdp,R_STSvp,R_TGd,R_TE1a,R_TE1p,R_TE2a,R_TF,R_TE2p,R_PHT,R_PH,R_TPOJ1,R_TPOJ2,R_PGp,R_IP2,R_IP1,R_PF,R_PFm,R_PGi,R_PGs,R_VMV1,R_VMV3,R_PHA2,R_FST,R_LO3,R_VMV2,R_31pd,R_VVC,R_25,R_s32,R_pOFC,R_PoI1,R_p10p,R_p47r,R_TGv,R_MBelt,R_A4,R_STSva,R_TE1m,R_PI,R_p24
L_V1,0.0,8.7293,12.212,10.753,8.5147,0.0,0.0,0.0,0.0,0.0,8.5874,6.0869,0.0,0.0,0.0,4.331,3.7745,0.0,6.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8572,0.0,5.4933,0.0,0.0,0.0,6.3683,0.0,0.0,0.0,0.0,0.0,0.0,6.9911,5.6716,9.0179,6.0658,0.0,0.0,0.0,0.0,5.5464,5.8863,0.0,0.0,0.0,0.0,0.0,5.5829,7.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9521,7.8473,4.0354,0.0,0.0,2.3082,0.0,7.2566,0.0,0.0,4.5309,0.0,0.0,0.0,7.4742,0.0,0.0,0.0,0.0,6.7792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5412,0.0,7.8284,0.0,0.0,0.0,0.0,0.0,7.4109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_V6,8.7293,0.0,9.2365,8.0778,4.9966,0.0,0.0,0.0,0.0,0.0,7.3867,7.2014,6.2826,5.2786,3.8991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.349,3.9462,7.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5964,5.7702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7983,0.0,0.0,6.2003,0.0,7.2219,0.0,0.0,0.0,0.0,0.0,7.1971,5.1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_V2,12.212,9.2365,0.0,11.341,9.3959,0.0,0.0,0.0,0.0,0.0,8.8814,0.0,4.7794,0.0,0.0,4.8528,4.066,5.8824,6.2794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7224,0.0,0.0,0.0,0.0,0.0,4.4626,6.6656,4.8245,8.8621,6.0357,6.298,0.0,0.0,7.2631,5.6198,0.0,0.0,0.0,7.2493,6.3029,0.0,5.2777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8504,0.0,5.4408,0.0,0.0,0.0,7.7153,0.0,0.0,0.0,0.69866,0.0,0.0,6.9071,0.0,0.0,0.0,0.0,6.7949,0.0,0.0,0.0,6.0087,0.0,0.0,0.0,0.0,7.3706,7.0483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_V3,10.753,8.0778,11.341,0.0,10.697,0.0,0.0,0.0,0.0,0.0,9.2338,6.4971,0.0,0.0,2.344,0.0,0.0,7.1921,7.8734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6538,0.0,0.0,0.0,0.0,0.0,0.0,5.4738,0.0,6.6334,6.0436,6.2692,0.0,0.0,5.0665,5.9304,5.8371,0.0,0.0,7.3617,0.0,0.0,0.0,7.0987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0534,7.9333,6.8105,4.2933,0.0,0.0,0.0,8.115,0.0,0.0,0.0,0.0,0.0,0.0,6.8534,0.0,0.0,0.0,0.0,6.9279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4042,7.2489,8.1623,0.0,0.0,0.0,0.0,0.0,7.8127,4.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_V4,8.5147,4.9966,9.3959,10.697,0.0,0.0,0.0,0.0,0.0,0.0,9.3119,0.0,0.0,0.0,0.0,7.4144,9.0632,9.2575,9.1842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5314,0.0,0.0,0.0,3.9443,6.5291,0.0,0.0,0.0,6.5795,5.8985,0.0,0.0,6.5263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6923,8.3847,3.7899,7.0433,0.0,6.6715,7.8459,0.0,0.0,7.3128,0.0,0.0,0.0,5.8452,0.0,0.0,0.0,0.0,6.2422,0.0,0.0,0.0,5.7059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_4,0.0,0.0,0.0,0.0,0.0,0.0,10.368,7.3613,0.0,7.6984,0.0,7.3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5674,5.8016,5.6445,6.2504,9.0201,5.4402,6.0052,0.0,4.8273,0.0,0.0,6.8213,0.0,0.0,0.0,9.9801,6.8658,10.211,9.8099,9.8256,8.6079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3444,0.0,0.0,0.0,0.0,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2366,0.0,0.0,0.0,0.0,3.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.404,6.326,0.0,0.0,6.6378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84,3.8897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9431,7.5588,9.0463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_3b,0.0,0.0,0.0,0.0,0.0,10.368,0.0,0.0,4.6615,6.7076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6568,4.1936,0.0,6.5238,5.6353,0.0,3.3756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.494,7.3838,9.9517,8.2999,7.2069,6.8887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6495,7.3399,0.0,0.0,3.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4991,0.0,6.0882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_FEF,0.0,0.0,0.0,0.0,0.0,7.3613,0.0,0.0,6.7045,8.2114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2008,0.0,7.7381,0.0,0.0,5.7791,0.0,0.0,0.0,7.0883,0.0,0.0,8.2358,6.6677,6.1403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5591,7.104,0.0,4.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5504,0.0,0.0,0.0,0.0,2.0331,0.0,0.0,0.0,0.0,0.0,3.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_PEF,0.0,0.0,0.0,0.0,0.0,0.0,4.6615,6.7045,0.0,8.2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0829,0.0,6.9924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8835,0.0,0.0,0.0,0.0,0.0,8.1884,0.0,0.0,0.0,0.0,7.6382,6.0386,7.9179,0.0,3.6173,0.0,4.9918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9199,4.7499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_55b,0.0,0.0,0.0,0.0,0.0,7.6984,6.7076,8.2114,8.2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4003,0.0,0.0,0.0,0.0,0.0,0.0,6.9564,0.0,5.6631,6.273,4.8556,7.6539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9615,0.0,0.0,0.0,0.0,0.0,8.5497,0.0,0.0,0.0,0.0,0.0,6.0287,7.4061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9077,8.0827,6.3502,0.0,4.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6746,5.3639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
