from,to,from_word,to_word,weight
1,7,money,work,0.02768166
1,84,money,rich,0.1591552843537415
1,99,money,poor,0.03146853
1,185,money,oil,0.0442176870748299
1,205,money,store,0.03169014
1,230,money,win,0.02473498
1,278,money,safe,0.04452055
1,327,money,shop,0.02826855
1,418,money,waste,0.02061856
1,462,money,pay,0.13013698630137
1,526,money,wealth,0.3006803054421769
1,734,money,value,0.1174377
1,753,money,save,0.1103448
1,787,money,powerful,0.01413428
1,821,money,trade,0.03061224
1,889,money,price,0.08650519
1,920,money,politician,0.02777778
1,1009,money,poverty,0.02491103
1,1010,money,sale,0.05154639
1,1041,money,much,0.0211267605633803
1,1115,money,purse,0.1293706
1,1129,money,risk,0.02888087
1,1161,money,sell,0.07017544
1,1191,money,prostitute,0.05190311
1,1289,money,reward,0.1039427
1,1305,money,payment,0.214788732394366
1,1336,money,rent,0.1099656
1,1393,money,working,0.04377104
1,1400,money,salary,0.1958042
1,1407,money,tip,0.1130742
1,1432,money,secure,0.01365188
1,1433,money,taxes,0.1609589
1,1494,money,problems,0.01413428
1,1516,money,robber,0.04225352
1,1522,money,raise,0.06484642
1,1548,money,stock,0.05555556
1,1556,money,needed,0.0298507462686567
1,1609,money,talent,0.02112676
1,1638,money,valuable,0.09893993
1,1664,money,pound,0.08219178
1,1701,money,worth,0.1227437
1,1772,money,sales,0.07931034
1,1801,money,purchase,0.1324042
2,65,water,wet,0.19951902
2,546,water,wave,0.1114983
2,735,water,well,0.140411
2,847,water,waves,0.08650519
2,1154,water,whale,0.03378378
3,48,food,party,0.023489932885906
3,55,food,smell,0.03092784
3,95,food,meat,0.0726643598615917
3,190,food,knife,0.0171232876712329
3,197,food,table,0.03378378
3,205,food,store,0.03521127
3,244,food,mouth,0.023728813559322
3,296,food,soup,0.04391892
3,297,food,need,0.0244755244755245
3,319,food,order,0.032258064516129
3,322,food,salt,0.02739726
3,327,food,shop,0.02120141
3,406,food,taste,0.08013937
3,454,food,indian,0.0652920962199313
3,481,food,pizza,0.0753424657534247
3,482,food,sauce,0.02702703
3,493,food,sandwich,0.05498282
3,497,food,spice,0.04081633
3,624,food,pasta,0.0471380471380471
3,633,food,spoon,0.03767123
3,673,food,turkey,0.03716216
3,736,food,italy,0.0501672240802676
3,744,food,meal,0.208333333333333
3,763,food,italian,0.113013698630137
3,767,food,nuts,0.0235690235690236
3,791,food,steak,0.03355705
3,806,food,vegetables,0.02739726
3,825,food,pet,0.0170068027210884
3,875,food,oven,0.0304054054054054
3,892,food,rice,0.05405405
3,902,food,spanish,0.02739726
3,915,food,plate,0.10958904109589
3,937,food,lunch,0.0819112627986348
3,942,food,market,0.0510204081632653
3,952,food,share,0.02777778
3,979,food,mexican,0.0905923344947735
3,1009,food,poverty,0.01423488
3,1041,food,much,0.0176056338028169
3,1062,food,potatoes,0.03767123
3,1101,food,spicy,0.08710801
3,1167,food,soul,0.03508772
3,1193,food,plenty,0.0526315789473684
3,1196,food,thanksgiving,0.0779661
3,1294,food,india,0.0171821305841924
3,1314,food,toast,0.01706485
3,1328,food,process,0.0248227
3,1333,food,japanese,0.041522491349481
3,1359,food,snack,0.1472603
3,1386,food,sausage,0.04467354
3,1464,food,raw,0.04827586
3,1513,food,stove,0.0443686
3,1556,food,needed,0.0223880597014925
3,1684,food,wrap,0.03135889
3,1773,food,spoiled,0.03508772
3,1794,food,sushi,0.03050847
3,1888,food,recipe,0.16609
4,51,car,smart,0.01689189
4,53,car,stop,0.01369863
4,102,car,road,0.0675278152054795
4,137,car,train,0.0414288476712329
4,185,car,oil,0.0408163265306122
4,220,car,race,0.03424658
4,263,car,machine,0.0310344827586207
4,270,car,street,0.05423729
4,343,car,truck,0.1382705479452055
4,357,car,drive,0.0684931506849315
4,437,car,wheel,0.1541096
4,470,car,toy,0.02758621
4,498,car,park,0.145762711864407
4,499,car,trip,0.02768166
4,556,car,traffic,0.05405405
4,638,car,wash,0.04452055
4,668,car,key,0.023728813559322
4,742,car,ride,0.1535714
4,747,car,radio,0.02341137
4,773,car,moving,0.0384615384615385
4,947,car,tire,0.1328671
4,965,car,model,0.0313588850174216
4,1021,car,service,0.02758621
4,1027,car,own,0.0277777777777778
4,1077,car,seat,0.01736111
4,1093,car,wheels,0.2081911
4,1161,car,sell,0.01403509
4,1179,car,insurance,0.0731707317073171
4,1205,car,side,0.02592593
4,1224,car,track,0.01351351
4,1249,car,jack,0.0758620689655172
4,1259,car,theft,0.01760563
4,1334,car,motion,0.0205479452054795
4,1336,car,rent,0.02061856
4,1361,car,wax,0.02047782
4,1379,car,polish,0.02758621
4,1484,car,repair,0.06896552
4,1527,car,reliable,0.01818182
4,1561,car,smash,0.02068966
4,1565,car,keys,0.116040955631399
4,1597,car,chase,0.03690036900369
4,1637,car,transport,0.1145052702739726
4,1772,car,sales,0.02068966
4,1791,car,parts,0.0871080139372822
4,1831,car,luxury,0.0439189189189189
4,1832,car,ownership,0.0749063670411985
4,1897,car,mobile,0.0476190476190476
5,53,red,stop,0.06164384
5,166,red,shoes,0.02068966
5,212,red,wine,0.1870748
5,482,red,sauce,0.03378378
5,649,red,shame,0.01953125
5,791,red,steak,0.03691275
5,905,red,sore,0.03082192
5,999,red,santa,0.06375839
5,1000,red,spots,0.01706485
5,1101,red,spicy,0.03832753
5,1171,red,scratch,0.02430556
5,1318,red,strawberry,0.147651
5,1392,red,target,0.03793103
5,1665,red,warning,0.06338028
5,1696,red,sunset,0.04810997
6,8,love,sex,0.0830627040677965
6,122,love,mother,0.0906040268456376
6,201,love,peace,0.119298245614035
6,267,love,you,0.0203389830508475
6,338,love,true,0.03061224
6,375,love,touch,0.01792115
6,431,love,wife,0.04810997
6,517,love,parents,0.0449826989619377
6,534,love,tough,0.02105263
6,535,love,trust,0.04844291
6,575,love,warmth,0.04152249
6,646,love,sister,0.01748252
6,698,love,parent,0.0238095238095238
6,777,love,sexual,0.02142857
6,783,love,pleasure,0.0352112676056338
6,825,love,pet,0.0340136054421769
6,833,love,triangle,0.02447552
6,950,love,promise,0.03053435
