node_id,word,y_ldt_z,y_ldt_raw_zscore,y_ldt_rt_ms,ldt_accuracy,ldt_obs,ldt_sd,y_naming_z,y_naming_raw_zscore,y_naming_rt_ms,naming_accuracy,naming_obs,length,z_length,log_freq_hal,z_log_freq_hal,lgsubtlwf,z_lgsubtlwf,ortho_n,z_ortho_n,old,z_old,nphon,z_nphon,nsyll,z_nsyll,nmorph,z_nmorph,age_of_acquisition,z_age_of_acquisition,emotional_valence,z_emotional_valence,emotional_arousal,z_emotional_arousal,emotional_dominance,z_emotional_dominance,body_object_interaction,z_body_object_interaction
1,money,-0.39229129890634307,-0.664,603.242,1.0,27.0,212.169,-0.3506439636224861,-0.576,597.889,1.0,,5,-0.267059930253647,12.253,1.5496030917224435,4.514,1.8163487681875623,6,0.025158228893995518,1.75,-0.23296808957415663,4,-0.3104247440883131,2,0.5037522514300279,1,-0.6133818164857131,5.11,-0.49467142953081616,7.1,1.1847093728280829,6.86,2.600470220618444,6.32,0.8834970765539495,6.292,1.6607783715136577
2,water,-1.4958667858487336,-0.843,564.879,1.0,27.0,172.18,-1.2724495272525962,-0.754,569.704,0.964,,5,-0.267059930253647,11.571,1.1158615897958986,4.06,1.1709172422700767,9,0.4940385536732661,1.5,-0.636239204380632,4,-0.3104247440883131,2,0.5037522514300279,1,-0.6133818164857131,2.37,-1.9336814372675486,7.0,1.1153695000636703,3.71,-0.538210527518418,6.12,0.685364578162776,6.192,1.599632965510667
3,food,-0.31214335851387887,-0.651,616.882,1.0,27.0,368.582,-0.7286878183696663,-0.649,571.185,1.0,,4,-0.8615340841320809,10.997,0.7508064254178392,3.896,0.9377657659474615,10,0.6503319952663563,1.45,-0.7168934273419272,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.25,-1.4715176391623208,7.52,1.4759368384386162,4.69,0.438267927457495,6.08,0.6457380784845412,6.47,1.7696171941989818
4,car,-0.11485612062473621,-0.619,642.094,0.94,27.0,327.779,0.06365067171688894,-0.496,633.593,1.0,,3,-1.4560082380105148,11.365,0.9848487607682329,4.392,1.6429068162890315,23,2.682146735976529,1.0,-1.442781433993583,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.37,-1.4084953030570624,6.63,0.8588119708353433,4.04,-0.20939635390408004,6.41,0.9726567008299773,6.036,1.5042461321460006
5,red,-1.6315017618975192,-0.865,542.758,0.97,28.0,140.589,-1.5883491866988695,-0.815,542.821,1.0,,3,-1.4560082380105148,11.55,1.1025059130503605,3.878,0.9121759697657112,18,1.9006795280110778,1.1,-1.2814729880709925,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,3.68,-1.2456876014518117,5.67,0.19314919229698124,5.02,0.7670821010718321,5.2,-0.22604491443662156,1.577,-1.2222275215273708
6,love,-1.8966064878110545,-0.908,492.806,1.0,28.0,83.238,-1.6349573331745493,-0.824,528.25,1.0,,4,-0.8615340841320809,12.019,1.4007826937007257,4.755,2.1589677059543324,16,1.5880926448248973,1.15,-1.2008187651096978,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,5.17,-0.4631602614781872,8.0,1.8087682277077974,5.36,1.1058603405532719,5.92,0.4872320797716024,2.4,-0.7190008301227543
7,work,-0.15184747772895046,-0.625,633.152,1.0,27.0,247.962,-1.5779918208153851,-0.813,521.889,1.0,,4,-0.8615340841320809,13.02,2.0374032852380735,4.61,1.9528276811568985,9,0.4940385536732661,1.5,-0.636239204380632,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,5.86,-0.10078182887295144,5.05,-0.23675801884237765,4.33,0.07956155624185332,6.12,0.685364578162776,3.44,-0.08308860769164726
8,sex,-1.6438322142655906,-0.867,571.281,1.0,27.0,211.358,0.017042525241209184,-0.505,606.074,1.0,,3,-1.4560082380105148,11.09,0.8099529938623679,3.89,0.9292358338868782,17,1.7443860864179876,1.35,-0.8782018732645172,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,9.79,1.963199678574259,6.73,0.9281518435997563,7.6,3.3378110947839286,6.17,0.7348977027605691,5.16,0.9686123755597991
9,cold,-1.6623278928176977,-0.87,505.909,1.0,28.0,81.792,-0.8115467454375415,-0.665,574.5,1.0,,4,-0.8615340841320809,10.459,0.4086467068892744,3.822,0.8325632705335986,16,1.5880926448248973,1.15,-1.2008187651096978,4,-0.3104247440883131,1,-0.8281434787069444,1,-0.6133818164857131,3.95,-1.1038873452149802,4.32,-0.7429390900225902,3.55,-0.6976355813920365,5.17,-0.2557647891952978,2.783,-0.48481392513129856
10,bad,-0.23816064430545036,-0.639,602.029,1.0,26.0,219.605,-0.692437037777471,-0.642,579.423,1.0,,3,-1.4560082380105148,11.942,1.3518118789670837,4.444,1.7168328941474211,23,2.682146735976529,1.0,-1.442781433993583,3,-0.9603338173392856,1,-0.8281434787069444,1,-0.6133818164857131,2.79,-1.7131032608991443,3.24,-1.4918097158782475,4.86,0.6076570471982145,3.56,-1.8507314012442433,1.889,-1.0314538547980385
